corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA,shapeQueryPolarity
nasa-steerable-v1,cross,znorm,2,,80,2,24,1,8640,5,0.2415382994450372,0.2489583384734309,0.3045208276502593,0.19693215948083287,0.36990934691602717,0.0017883540000000204,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,cross,znorm,5,,80,2,24,1,8640,5,0.24486902263142818,0.2547776899002608,0.30555595901292815,0.19966039024162788,0.37156951524956383,0.0017181410000000046,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,cross,znorm,10,,80,2,24,1,8640,5,0.24634455880603742,0.2574502624779889,0.30591109111561177,0.20023005757670162,0.37284989608941665,0.0017606970000000218,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,cross,znorm,25,,80,2,24,1,8640,5,0.2458346848650635,0.25730734964311547,0.3060277081538202,0.19809033454202485,0.37466696386107295,0.0017362270000000051,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,cross,znorm,50,,80,2,24,1,8640,5,0.2457779085101144,0.25755487009114325,0.30622015800932223,0.19770440935681233,0.37533999341813795,0.0017423070000000148,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,P,,,80,2,24,1,8640,8,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0018260489999999262,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,F,,,80,2,24,1,8640,8,0.258299822283003,0.3217134896674047,0.007641815020047249,0.29484034507198614,0.11703902970930691,0.00010017899999999598,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,F_legacy,,,80,2,24,1,8640,8,0.25562116044624705,0.27497033839981766,0.3054923905317333,0.20556792300923943,0.3702644084765733,0.00014917199999999806,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,T,0,,80,2,24,1,8640,8,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0033117109999997356,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,T,1,,80,2,24,1,8640,8,0.24414984367034806,0.259590797048196,0.30638699079773185,0.2064052037745709,0.370524951513812,0.002597513999999755,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,T,2,,80,2,24,1,8640,8,0.24641500511952594,0.26421145645839633,0.3062181271079534,0.20751196285560322,0.37161104807491946,0.002504005999999788,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,T,5,,80,2,24,1,8640,8,0.24780345278893592,0.2681896539771685,0.3052368547709965,0.20861314972901795,0.37166737214421586,0.002441856999999819,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,T,10,,80,2,24,1,8640,8,0.24858773899267878,0.2711089150398354,0.29607641971956467,0.21174899757083437,0.36475256359636693,0.0023753559999998477,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,T,25,,80,2,24,1,8640,8,0.2581396019294714,0.3213502497328982,0.008890949775674502,0.2944262723655066,0.11810328978385708,0.0024308339999998185,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,T,50,,80,2,24,1,8640,8,0.2582448613125241,0.32161706495215164,0.007908390112121513,0.2947338003527759,0.11723888238911837,0.002407974999999829,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,lex,,2,80,2,24,1,8640,8,0.2413259514389708,0.2491341606585273,0.3043435380887024,0.20003140397881147,0.36437581936920227,0.0029515029999996347,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,lex,,3,80,2,24,1,8640,8,0.2524917341987919,0.3080644445789702,0.0080398401595465,0.28628964596565776,0.11738781091880236,0.002393717999999837,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,lex,,4,80,2,24,1,8640,8,0.25273021384314504,0.3089951361196377,0.007972051878810602,0.28650989901717894,0.11957208920153338,0.002373422999999846,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,lex,,6,80,2,24,1,8640,8,0.2604702602783451,0.3208628005392844,0.007774457918569161,0.2845194271096029,0.12044756373045333,0.002438975999999806,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,dots,znorm,0,,80,2,24,1,8640,8,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.002204399999999966,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
